year,field,authors,gender
2022,Physics,Peter,
2022,Physics,Ramón,
2022,Physics,Mark,
2022,Physics,Allison,
2022,Physics,Timothy,
2022,Physics,Katherine,
2022,Chemistry,Sinem,
2022,Chemistry,Huseyin,
2022,Physiology or Medicine,Luis,
2022,Physiology or Medicine,Suna,
2022,Physiology or Medicine,Matthew,
2022,Physiology or Medicine,Christopher,
2022,Physiology or Medicine,Stefano,
2022,Physiology or Medicine,Marco,
2022,Physiology or Medicine,Hector,
2022,Physiology or Medicine,Lilia,
2022,Physiology or Medicine,Justin,
2022,Physiology or Medicine,Jesus,
2022,Economic Sciences,Irena,
2022,Economic Sciences,Swati,
2022,Economic Sciences,Jill,
2022,Economic Sciences,Alice,
2022,Economic Sciences,Geraint,
2022,Economic Sciences,Alexandra,
2022,Economic Sciences,Adam,
2022,Economic Sciences,Gabriela,
2022,Economic Sciences,Tommaso,
2022,Economic Sciences,Elena,
2023,Physics,Rachel,
2023,Physics,Sarah,
2023,Physics,Charles,
2023,Physics,Ya,
2023,Physiology or Medicine,Mahdis,
2023,Physiology or Medicine,Elham,
2023,Physiology or Medicine,Nasrin,
2023,Physiology or Medicine,Sina,
2023,Physiology or Medicine,Hamid,
2023,Physiology or Medicine,Simin,
2023,Physiology or Medicine,Faezeh,
2023,Physiology or Medicine,Sepideh,
2023,Physiology or Medicine,Siamak,
2023,Physiology or Medicine,Alireza,
2023,Economic Sciences,Yuliia,
2023,Economic Sciences,Nikolina,
2023,Economic Sciences,Jeannie,
2023,Economic Sciences,Dimitar,
2023,Economic Sciences,Azeza,
2023,Economic Sciences,Iskra,
2023,Economic Sciences,Alexandra,
2023,Economic Sciences,Tünde-Ilona,
2023,Economic Sciences,Dorinela,
2023,Economic Sciences,Niel,
