year,field,name,gender
1901,Physics,Ludwig,
1901,Physics,Dawson,
1901,Physics,John,
1901,Physics,George,
1901,Chemistry,Bernard,
1901,Chemistry,Louis,
1901,Chemistry,Paul,
1901,Physiology or Medicine,Sydney,
1901,Physiology or Medicine,Allen,
1901,Physiology or Medicine,Joseph,
1901,Physiology or Medicine,Leo,
1901,Physiology or Medicine,William,
1901,Physiology or Medicine,Theodore,
1901,Physiology or Medicine,Harvey,
1901,Physiology or Medicine,Jacques,
1901,Physiology or Medicine,BENJAMIN,
1901,Physiology or Medicine,Leonard,
1901,Economic Sciences,Max,
1901,Economic Sciences,Edwin,
1901,Economic Sciences,Henry,
1901,Economic Sciences,William,
1901,Economic Sciences,Montague,
1901,Economic Sciences,Mona,
1901,Economic Sciences,Christabel,
1901,Economic Sciences,Bolton,
1901,Economic Sciences,Sidney,
1901,Economic Sciences,Rudolfo,
1902,Physics,Henri,
1902,Physics,Alfred,
1902,Physics,Carl,
1902,Physics,Vladimír,
1902,Chemistry,Louis,
1902,Chemistry,Edward,
1902,Chemistry,Paul,
1902,Physiology or Medicine,James,
1902,Physiology or Medicine,Anne,
1902,Physiology or Medicine,Walter,
1902,Physiology or Medicine,Torald,
1902,Physiology or Medicine,William,
1902,Physiology or Medicine,Laura,
1902,Physiology or Medicine,Jacques,
1902,Physiology or Medicine,Francis,
1902,Physiology or Medicine,Otto,
1902,Economic Sciences,Adolphe,
1902,Economic Sciences,George,
1902,Economic Sciences,Octave,
1902,Economic Sciences,Harold,
1902,Economic Sciences,Helen,
1902,Economic Sciences,Percy,
1902,Economic Sciences,Sidney,
1902,Economic Sciences,Carl,
1902,Economic Sciences,David,
1902,Economic Sciences,Cameron,
1903,Physics,Edith,
1903,Physics,John,
1903,Physics,GILBERT,
1903,Physics,Vladimír,
1903,Physics,Captain,
1903,Chemistry,Gustave,
1903,Physiology or Medicine,Benjamin,
1903,Physiology or Medicine,Joseph,
1903,Physiology or Medicine,Alexander,
1903,Physiology or Medicine,Philip,
1903,Physiology or Medicine,Clara,
1903,Physiology or Medicine,Shinkishi,
1903,Physiology or Medicine,Leonard,
1903,Physiology or Medicine,Otto,
1903,Physiology or Medicine,Yandell,
1903,Physiology or Medicine,Ellen,
1903,Economic Sciences,Hermann,
1903,Economic Sciences,Henry,
1903,Economic Sciences,Achille,
1903,Economic Sciences,Christabel,
1903,Economic Sciences,Percy,
1903,Economic Sciences,Bolton,
1903,Economic Sciences,Stephen,
1903,Economic Sciences,Michael,
1903,Economic Sciences,Adolf,
1903,Economic Sciences,Charles,
1904,Physics,Frank,
1904,Physics,CLEVELAND,
1904,Physics,Oliver,
1904,Physics,Henry,
1904,Chemistry,Paul,
1904,Chemistry,Alice,
1904,Chemistry,Arthur,
1904,Chemistry,Gustave,
1904,Chemistry,Frederick,
1904,Chemistry,Charles,
1904,Physiology or Medicine,Swale,
1904,Physiology or Medicine,Torald,
1904,Physiology or Medicine,Waldemar,
1904,Physiology or Medicine,Isaac,
1904,Physiology or Medicine,Shinkishi,
1904,Economic Sciences,Juichi,
1904,Economic Sciences,James,
1904,Economic Sciences,Maurice,
1904,Economic Sciences,Paul,
1904,Economic Sciences,Henry,
1904,Economic Sciences,William,
1904,Economic Sciences,Christabel,
1904,Economic Sciences,Sidney,
1904,Economic Sciences,Beatrice,
1904,Economic Sciences,Millicent,
1905,Physics,LAWRECE,
1905,Physics,REGINALD,
1905,Physics,William,
1905,Physics,Henri,
1905,Physics,Carl,
1905,Physics,Cleveland,
1905,Physics,Josef,
1905,Chemistry,Louis,
1905,Chemistry,Herman,
1905,Chemistry,Marcus,
1905,Chemistry,William,
1905,Chemistry,Edward,
1905,Physiology or Medicine,Hans,
1905,Physiology or Medicine,Sutherland,
1905,Physiology or Medicine,Joseph,
1905,Physiology or Medicine,Alexander,
1905,Physiology or Medicine,Julius,
1905,Physiology or Medicine,Torald,
1905,Physiology or Medicine,Otto,
1905,Physiology or Medicine,Shinkishi,
1905,Physiology or Medicine,Philip,
1905,Economic Sciences,Lilian,
1905,Economic Sciences,Laurent,
1905,Economic Sciences,Stella,
1905,Economic Sciences,Edith,
1905,Economic Sciences,Andre,
1905,Economic Sciences,Oskar,
1905,Economic Sciences,Helen,
1905,Economic Sciences,Stanley,
1905,Economic Sciences,Helene,
1905,Economic Sciences,Geoffrey,
1906,Physics,Alexander,
1906,Chemistry,Helen,
1906,Chemistry,Waldemar,
1906,Chemistry,Alexander,
1906,Chemistry,Arthur,
1906,Physiology or Medicine,Joseph,
1906,Physiology or Medicine,John,
1906,Physiology or Medicine,Ivor,
1906,Physiology or Medicine,Otto,
1906,Physiology or Medicine,Francis,
1906,Economic Sciences,Maud,
1906,Economic Sciences,Edwin,
1906,Economic Sciences,Paul,
1906,Economic Sciences,Robert,
1906,Economic Sciences,Achille,
1906,Economic Sciences,Walther,
1906,Economic Sciences,Helene,
1906,Economic Sciences,Evelyn,
1906,Economic Sciences,Royal,
1906,Economic Sciences,Mary,
1907,Physics,OLIVER,
1907,Physics,William,
1907,Chemistry,Emil,
1907,Chemistry,Walter,
1907,Chemistry,George,
1907,Chemistry,Alexander,
1907,Physiology or Medicine,WESLEY,
1907,Physiology or Medicine,Gertrude,
1907,Physiology or Medicine,Torald,
1907,Physiology or Medicine,William,
1907,Physiology or Medicine,John,
1907,Physiology or Medicine,Percival,
1907,Physiology or Medicine,Keith,
1907,Economic Sciences,Edwin,
1907,Economic Sciences,Gustav,
1907,Economic Sciences,Paul,
1907,Economic Sciences,Lord,
1907,Economic Sciences,Clementina,
1907,Economic Sciences,Charles,
1907,Economic Sciences,Hector,
1907,Economic Sciences,Franklin,
1907,Economic Sciences,Ludwig,
1907,Economic Sciences,Irving,
1908,Physics,William,
1908,Physics,Henry,
1908,Physics,Paul,
1908,Chemistry,Ernest,
1908,Chemistry,William,
1908,Chemistry,Hugh,
1908,Chemistry,Tadasu,
1908,Physiology or Medicine,Graham,
1908,Physiology or Medicine,Basil,
1908,Physiology or Medicine,William,
1908,Physiology or Medicine,John,
1908,Physiology or Medicine,Hugh,
1908,Physiology or Medicine,Tadasu,
1908,Physiology or Medicine,Otto,
1908,Physiology or Medicine,Keith,
1908,Physiology or Medicine,Yandell,
1908,Physiology or Medicine,Philip,
1908,Economic Sciences,Lilian,
1908,Economic Sciences,Clive,
1908,Economic Sciences,Gustav,
1908,Economic Sciences,Menyhert,
1908,Economic Sciences,Fabian,
1908,Economic Sciences,Albert,
1908,Economic Sciences,Pasquale,
1908,Economic Sciences,Thomas,
1908,Economic Sciences,Willi,
1908,Economic Sciences,Edward,
1909,Physics,Ernest,
1909,Physics,William,
1909,Physics,John,
1909,Physics,Jacques,
1909,Physics,Edward,
1909,Chemistry,Sydney,
1909,Chemistry,Arthur,
1909,Chemistry,Walter,
1909,Chemistry,Clarence,
1909,Chemistry,Helen,
1909,Chemistry,Opal,
1909,Chemistry,Tadasu,
1909,Chemistry,Edward,
1909,Physiology or Medicine,Maxwell,
1909,Physiology or Medicine,Edmund,
1909,Physiology or Medicine,Gordon,
1909,Physiology or Medicine,William,
1909,Physiology or Medicine,Percival,
1909,Physiology or Medicine,Keith,
1909,Physiology or Medicine,Ralph,
1909,Physiology or Medicine,Otto,
1909,Physiology or Medicine,Worth,
1909,Physiology or Medicine,George,
1909,Economic Sciences,Maurice,
1909,Economic Sciences,Edith,
1909,Economic Sciences,Hartley,
1909,Economic Sciences,Robert,
1909,Economic Sciences,Bernhard,
1909,Economic Sciences,Joseph,
1909,Economic Sciences,Jacques,
1909,Economic Sciences,Leonard,
1909,Economic Sciences,Thomas,
1909,Economic Sciences,Charles,
1910,Physics,Hans,
